Course name,Course link,Course description,Price,Starting date,Whether it is live or self-paced,Number of lessons,Total duration in number of hours,Who the course is meant for
Data Analytics Foundations,https://vizuara.ai/courses/data-analytics-foundations,"Built for applied learning, this course covers data analytics foundations through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for beginners moving into analytics roles.",$119,2026-06-01,Self-paced,10,12,beginners moving into analytics roles
Data Analytics In Practice,https://vizuara.ai/courses/data-analytics-in-practice,"Built for applied learning, this course covers data analytics in practice through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for marketing, product and operations teams that work with dashboards.",$79,2026-07-13,Self-paced,11,8,"marketing, product and operations teams that work with dashboards"
Python for Data Analysis,https://vizuara.ai/courses/python-for-data-analysis,"This course gives a structured introduction to python for data analysis, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders and operators who want to track growth metrics.",$115,2026-12-21,Self-paced,27,24,founders and operators who want to track growth metrics
Python for Data Analysis Advanced,https://vizuara.ai/courses/python-for-data-analysis-advanced,"This course gives a structured introduction to python for data analysis advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for founders and operators who want to track growth metrics.",$99,2027-03-08,Self-paced,20,22,founders and operators who want to track growth metrics
Statistics for Decision Making,https://vizuara.ai/courses/statistics-for-decision-making,"Built for applied learning, this course covers statistics for decision making through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for students preparing for entry-level analyst jobs.",$169,2027-02-22,Live,21,25,students preparing for entry-level analyst jobs
Statistics for Decision Making Advanced,https://vizuara.ai/courses/statistics-for-decision-making-advanced,"A practical course on statistics for decision making advanced that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. The course is meant for marketing, product and operations teams that work with dashboards.",$200,2027-01-11,Self-paced,22,17,"marketing, product and operations teams that work with dashboards"
SQL for Analysts,https://vizuara.ai/courses/sql-for-analysts,"This course helps learners build strong working knowledge of sql for analysts with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for beginners moving into analytics roles.",$129,2026-07-13,Self-paced,11,11,beginners moving into analytics roles
SQL for Analysts Advanced,https://vizuara.ai/courses/sql-for-analysts-advanced,"This course gives a structured introduction to sql for analysts advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders and operators who want to track growth metrics.",$155,2026-07-06,Self-paced,21,19,founders and operators who want to track growth metrics
Excel for Business Analytics,https://vizuara.ai/courses/excel-for-business-analytics,"Designed around real workplace use cases, this programme teaches excel for business analytics through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for marketing, product and operations teams that work with dashboards.",$175,2026-08-03,Self-paced,17,16,"marketing, product and operations teams that work with dashboards"
Excel for Business Analytics Advanced,https://vizuara.ai/courses/excel-for-business-analytics-advanced,"This course gives a structured introduction to excel for business analytics advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders and operators who want to track growth metrics.",$65,2026-09-28,Self-paced,11,11,founders and operators who want to track growth metrics
Tableau Reporting Masterclass,https://vizuara.ai/courses/tableau-reporting-masterclass,"This course helps learners build strong working knowledge of tableau reporting masterclass with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for students preparing for entry-level analyst jobs.",$139,2027-01-18,Self-paced,28,30,students preparing for entry-level analyst jobs
Tableau Reporting Masterclass Advanced,https://vizuara.ai/courses/tableau-reporting-masterclass-advanced,"This course helps learners build strong working knowledge of tableau reporting masterclass advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for marketing, product and operations teams that work with dashboards.",$240,2026-07-27,Live,14,12,"marketing, product and operations teams that work with dashboards"
Power BI for Teams,https://vizuara.ai/courses/power-bi-for-teams,"This course gives a structured introduction to power bi for teams, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for beginners moving into analytics roles.",$229,2027-03-08,Live,14,17,beginners moving into analytics roles
Power BI for Teams Advanced,https://vizuara.ai/courses/power-bi-for-teams-advanced,"Built for applied learning, this course covers power bi for teams advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It works well for students preparing for entry-level analyst jobs.",$155,2026-12-28,Self-paced,23,18,students preparing for entry-level analyst jobs
Forecasting with Time Series,https://vizuara.ai/courses/forecasting-with-time-series,"This course gives a structured introduction to forecasting with time series, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for founders and operators who want to track growth metrics.",$195,2027-03-15,Self-paced,10,9,founders and operators who want to track growth metrics
Forecasting with Time Series Advanced,https://vizuara.ai/courses/forecasting-with-time-series-advanced,"Built for applied learning, this course covers forecasting with time series advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for working professionals who need data skills for business decisions.",$170,2027-03-08,Live,24,16,working professionals who need data skills for business decisions
A/B Testing for Product Teams,https://vizuara.ai/courses/a-b-testing-for-product-teams,"Built for applied learning, this course covers a/b testing for product teams through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for working professionals who need data skills for business decisions.",$109,2026-09-14,Self-paced,19,29,working professionals who need data skills for business decisions
A/B Testing for Product Teams Advanced,https://vizuara.ai/courses/a-b-testing-for-product-teams-advanced,"Designed around real workplace use cases, this programme teaches a/b testing for product teams advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is ideal for founders and operators who want to track growth metrics.",$85,2027-03-29,Self-paced,25,17,founders and operators who want to track growth metrics
Customer Analytics,https://vizuara.ai/courses/customer-analytics,"Built for applied learning, this course covers customer analytics through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for beginners moving into analytics roles.",$120,2026-11-09,Live,28,20,beginners moving into analytics roles
Customer Analytics Advanced,https://vizuara.ai/courses/customer-analytics-advanced,"Designed around real workplace use cases, this programme teaches customer analytics advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for students preparing for entry-level analyst jobs.",$170,2026-12-28,Live,25,22,students preparing for entry-level analyst jobs
Marketing Analytics,https://vizuara.ai/courses/marketing-analytics,"Designed around real workplace use cases, this programme teaches marketing analytics through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for beginners moving into analytics roles.",$170,2026-10-19,Self-paced,22,26,beginners moving into analytics roles
Marketing Analytics Advanced,https://vizuara.ai/courses/marketing-analytics-advanced,"This course gives a structured introduction to marketing analytics advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for beginners moving into analytics roles.",$160,2026-07-13,Live,10,16,beginners moving into analytics roles
Cohort Analysis and Retention,https://vizuara.ai/courses/cohort-analysis-and-retention,"This course helps learners build strong working knowledge of cohort analysis and retention with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for founders and operators who want to track growth metrics.",$120,2026-07-20,Live,11,13,founders and operators who want to track growth metrics
Cohort Analysis and Retention Advanced,https://vizuara.ai/courses/cohort-analysis-and-retention-advanced,"This course helps learners build strong working knowledge of cohort analysis and retention advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for students preparing for entry-level analyst jobs.",$179,2027-03-22,Self-paced,28,28,students preparing for entry-level analyst jobs
Pricing Analytics,https://vizuara.ai/courses/pricing-analytics,"This course gives a structured introduction to pricing analytics, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for beginners moving into analytics roles.",$210,2026-10-26,Live,23,27,beginners moving into analytics roles
Pricing Analytics Advanced,https://vizuara.ai/courses/pricing-analytics-advanced,"This course helps learners build strong working knowledge of pricing analytics advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for marketing, product and operations teams that work with dashboards.",$159,2026-06-29,Live,20,17,"marketing, product and operations teams that work with dashboards"
Business Metrics and Dashboards,https://vizuara.ai/courses/business-metrics-and-dashboards,"This course gives a structured introduction to business metrics and dashboards, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for marketing, product and operations teams that work with dashboards.",$159,2026-10-19,Live,18,26,"marketing, product and operations teams that work with dashboards"
Business Metrics and Dashboards Advanced,https://vizuara.ai/courses/business-metrics-and-dashboards-advanced,"Designed around real workplace use cases, this programme teaches business metrics and dashboards advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for working professionals who need data skills for business decisions.",$59,2027-03-08,Self-paced,27,31,working professionals who need data skills for business decisions
Data Storytelling for Leaders,https://vizuara.ai/courses/data-storytelling-for-leaders,"This course gives a structured introduction to data storytelling for leaders, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is especially useful for students preparing for entry-level analyst jobs.",$159,2026-06-15,Self-paced,16,24,students preparing for entry-level analyst jobs
Data Storytelling for Leaders Advanced,https://vizuara.ai/courses/data-storytelling-for-leaders-advanced,"This course helps learners build strong working knowledge of data storytelling for leaders advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for marketing, product and operations teams that work with dashboards.",$210,2027-02-22,Live,24,25,"marketing, product and operations teams that work with dashboards"
AI Literacy for Professionals,https://vizuara.ai/courses/ai-literacy-for-professionals,"A practical course on ai literacy for professionals that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for professionals who want to use AI confidently in day-to-day work.",$490,2026-11-30,Live,14,9,professionals who want to use AI confidently in day-to-day work
AI Literacy for Professionals Advanced,https://vizuara.ai/courses/ai-literacy-for-professionals-advanced,"This course gives a structured introduction to ai literacy for professionals advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for engineering teams moving from experimentation to deployment.",$459,2026-04-27,Live,23,32,engineering teams moving from experimentation to deployment
Prompt Engineering for Work,https://vizuara.ai/courses/prompt-engineering-for-work,"Built for applied learning, this course covers prompt engineering for work through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for software developers building AI features.",$399,2026-12-14,Live,10,10,software developers building AI features
Prompt Engineering for Work Advanced,https://vizuara.ai/courses/prompt-engineering-for-work-advanced,"Designed around real workplace use cases, this programme teaches prompt engineering for work advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for product managers and founders exploring AI products.",$370,2026-08-24,Self-paced,21,32,product managers and founders exploring AI products
Generative AI for Content Teams,https://vizuara.ai/courses/generative-ai-for-content-teams,"This course gives a structured introduction to generative ai for content teams, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is especially useful for professionals who want to use AI confidently in day-to-day work.",$345,2026-08-24,Live,20,18,professionals who want to use AI confidently in day-to-day work
Generative AI for Content Teams Advanced,https://vizuara.ai/courses/generative-ai-for-content-teams-advanced,"Designed around real workplace use cases, this programme teaches generative ai for content teams advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for product managers and founders exploring AI products.",$349,2026-11-16,Self-paced,11,8,product managers and founders exploring AI products
Building AI Agents with Python,https://vizuara.ai/courses/building-ai-agents-with-python,"A practical course on building ai agents with python that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for engineering teams moving from experimentation to deployment.",$219,2026-10-19,Self-paced,15,15,engineering teams moving from experimentation to deployment
Building AI Agents with Python Advanced,https://vizuara.ai/courses/building-ai-agents-with-python-advanced,"Built for applied learning, this course covers building ai agents with python advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for professionals who want to use AI confidently in day-to-day work.",$145,2026-05-25,Self-paced,17,14,professionals who want to use AI confidently in day-to-day work
Machine Learning Fundamentals,https://vizuara.ai/courses/machine-learning-fundamentals,"Built for applied learning, this course covers machine learning fundamentals through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is especially useful for product managers and founders exploring AI products.",$369,2027-02-01,Live,14,20,product managers and founders exploring AI products
Machine Learning In Practice,https://vizuara.ai/courses/machine-learning-in-practice,"A practical course on machine learning in practice that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. The course is meant for professionals who want to use AI confidently in day-to-day work.",$410,2026-04-20,Live,9,7,professionals who want to use AI confidently in day-to-day work
Deep Learning Essentials,https://vizuara.ai/courses/deep-learning-essentials,"Built for applied learning, this course covers deep learning essentials through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for students targeting careers in machine learning.",$300,2027-02-15,Self-paced,16,13,students targeting careers in machine learning
Deep Learning Advanced Applications,https://vizuara.ai/courses/deep-learning-advanced-applications,"Designed around real workplace use cases, this programme teaches deep learning advanced applications through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for engineering teams moving from experimentation to deployment.",$210,2026-12-21,Live,12,16,engineering teams moving from experimentation to deployment
Computer Vision with PyTorch,https://vizuara.ai/courses/computer-vision-with-pytorch,"This course gives a structured introduction to computer vision with pytorch, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for software developers building AI features.",$210,2026-07-06,Live,17,22,software developers building AI features
Computer Vision with PyTorch Advanced,https://vizuara.ai/courses/computer-vision-with-pytorch-advanced,"This course helps learners build strong working knowledge of computer vision with pytorch advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for software developers building AI features.",$159,2026-06-15,Self-paced,21,33,software developers building AI features
NLP for Product Builders,https://vizuara.ai/courses/nlp-for-product-builders,"This course helps learners build strong working knowledge of nlp for product builders with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for professionals who want to use AI confidently in day-to-day work.",$320,2026-06-15,Live,18,25,professionals who want to use AI confidently in day-to-day work
NLP for Product Builders Advanced,https://vizuara.ai/courses/nlp-for-product-builders-advanced,"Designed around real workplace use cases, this programme teaches nlp for product builders advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is ideal for software developers building AI features.",$315,2026-08-17,Self-paced,15,13,software developers building AI features
LLM Application Development,https://vizuara.ai/courses/llm-application-development,"A practical course on llm application development that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is especially useful for product managers and founders exploring AI products.",$219,2027-03-15,Self-paced,20,24,product managers and founders exploring AI products
LLM Application Development Advanced,https://vizuara.ai/courses/llm-application-development-advanced,"A practical course on llm application development advanced that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for engineering teams moving from experimentation to deployment.",$140,2026-06-22,Self-paced,18,12,engineering teams moving from experimentation to deployment
Fine-Tuning Open Models,https://vizuara.ai/courses/fine-tuning-open-models,"This course gives a structured introduction to fine-tuning open models, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is especially useful for engineering teams moving from experimentation to deployment.",$350,2026-12-28,Live,21,25,engineering teams moving from experimentation to deployment
Fine-Tuning Open Models Advanced,https://vizuara.ai/courses/fine-tuning-open-models-advanced,"Built for applied learning, this course covers fine-tuning open models advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for professionals who want to use AI confidently in day-to-day work.",$100,2026-10-12,Self-paced,14,13,professionals who want to use AI confidently in day-to-day work
RAG Systems in Practice,https://vizuara.ai/courses/rag-systems-in-practice,"Built for applied learning, this course covers rag systems in practice through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It works well for product managers and founders exploring AI products.",$350,2026-05-25,Live,10,12,product managers and founders exploring AI products
RAG Systems in Practice Advanced,https://vizuara.ai/courses/rag-systems-in-practice-advanced,"This course helps learners build strong working knowledge of rag systems in practice advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for software developers building AI features.",$230,2026-06-01,Self-paced,18,24,software developers building AI features
AI Evaluation and Guardrails,https://vizuara.ai/courses/ai-evaluation-and-guardrails,"This course gives a structured introduction to ai evaluation and guardrails, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for engineering teams moving from experimentation to deployment.",$370,2026-09-28,Self-paced,13,18,engineering teams moving from experimentation to deployment
AI Evaluation and Guardrails Advanced,https://vizuara.ai/courses/ai-evaluation-and-guardrails-advanced,"Designed around real workplace use cases, this programme teaches ai evaluation and guardrails advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for students targeting careers in machine learning.",$355,2026-10-19,Live,21,32,students targeting careers in machine learning
Responsible AI for Product Teams,https://vizuara.ai/courses/responsible-ai-for-product-teams,"A practical course on responsible ai for product teams that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for engineering teams moving from experimentation to deployment.",$120,2026-11-16,Self-paced,13,19,engineering teams moving from experimentation to deployment
Responsible AI for Product Teams Advanced,https://vizuara.ai/courses/responsible-ai-for-product-teams-advanced,"Designed around real workplace use cases, this programme teaches responsible ai for product teams advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is ideal for software developers building AI features.",$239,2027-03-29,Self-paced,15,20,software developers building AI features
MLOps Basics,https://vizuara.ai/courses/mlops-basics,"Designed around real workplace use cases, this programme teaches mlops basics through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is especially useful for engineering teams moving from experimentation to deployment.",$230,2026-10-05,Live,23,35,engineering teams moving from experimentation to deployment
MLOps Advanced Applications,https://vizuara.ai/courses/mlops-advanced-applications,"Designed around real workplace use cases, this programme teaches mlops advanced applications through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for students targeting careers in machine learning.",$189,2027-03-15,Live,15,12,students targeting careers in machine learning
AI Product Management,https://vizuara.ai/courses/ai-product-management,"This course helps learners build strong working knowledge of ai product management with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for professionals who want to use AI confidently in day-to-day work.",$100,2026-07-20,Self-paced,24,30,professionals who want to use AI confidently in day-to-day work
AI Product Management Advanced,https://vizuara.ai/courses/ai-product-management-advanced,"Built for applied learning, this course covers ai product management advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is especially useful for students targeting careers in machine learning.",$385,2027-03-08,Self-paced,24,33,students targeting careers in machine learning
Python Programming Bootcamp,https://vizuara.ai/courses/python-programming-bootcamp,"A practical course on python programming bootcamp that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. The course is meant for developers shifting into full stack roles.",$150,2026-11-02,Self-paced,29,34,developers shifting into full stack roles
JavaScript from Scratch,https://vizuara.ai/courses/javascript-from-scratch,"This course helps learners build strong working knowledge of javascript from scratch with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is ideal for engineering students building portfolio projects.",$320,2026-07-20,Self-paced,20,30,engineering students building portfolio projects
Frontend Development with React,https://vizuara.ai/courses/frontend-development-with-react,"Designed around real workplace use cases, this programme teaches frontend development with react through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for beginners starting software development.",$240,2026-11-30,Self-paced,19,21,beginners starting software development
Backend APIs with Node.js,https://vizuara.ai/courses/backend-apis-with-nodejs,"A practical course on backend apis with node.js that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is especially useful for developers shifting into full stack roles.",$209,2026-10-05,Live,16,22,developers shifting into full stack roles
Full Stack Web Development,https://vizuara.ai/courses/full-stack-web-development,"Built for applied learning, this course covers full stack web development through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is especially useful for beginners starting software development.",$260,2027-02-08,Live,18,25,beginners starting software development
Django for Web Apps,https://vizuara.ai/courses/django-for-web-apps,"Built for applied learning, this course covers django for web apps through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for teams standardising modern development workflows.",$350,2026-10-05,Live,23,25,teams standardising modern development workflows
TypeScript for Modern Teams,https://vizuara.ai/courses/typescript-for-modern-teams,"This course helps learners build strong working knowledge of typescript for modern teams with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for engineering students building portfolio projects.",$279,2026-09-21,Live,20,27,engineering students building portfolio projects
System Design Basics,https://vizuara.ai/courses/system-design-basics,"This course gives a structured introduction to system design basics, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for teams standardising modern development workflows.",$80,2026-12-21,Self-paced,16,20,teams standardising modern development workflows
Git and GitHub for Collaboration,https://vizuara.ai/courses/git-and-github-for-collaboration,"This course helps learners build strong working knowledge of git and github for collaboration with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for engineering students building portfolio projects.",$299,2026-04-27,Self-paced,16,24,engineering students building portfolio projects
Testing for Developers,https://vizuara.ai/courses/testing-for-developers,"A practical course on testing for developers that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. It is ideal for developers shifting into full stack roles.",$350,2026-08-03,Live,22,25,developers shifting into full stack roles
REST and GraphQL APIs,https://vizuara.ai/courses/rest-and-graphql-apis,"This course gives a structured introduction to rest and graphql apis, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for beginners starting software development.",$400,2026-07-13,Live,29,21,beginners starting software development
Microservices Fundamentals,https://vizuara.ai/courses/microservices-fundamentals,"This course gives a structured introduction to microservices fundamentals, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for developers shifting into full stack roles.",$149,2026-06-01,Self-paced,18,12,developers shifting into full stack roles
Docker and Kubernetes for Developers,https://vizuara.ai/courses/docker-and-kubernetes-for-developers,"Designed around real workplace use cases, this programme teaches docker and kubernetes for developers through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for beginners starting software development.",$200,2026-12-28,Live,20,25,beginners starting software development
DevOps for Small Teams,https://vizuara.ai/courses/devops-for-small-teams,"Designed around real workplace use cases, this programme teaches devops for small teams through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is ideal for developers shifting into full stack roles.",$300,2026-09-21,Live,12,14,developers shifting into full stack roles
